fold,model,n_train,n_test,accuracy,macro_f1,macro_recall,both_recall,train_macro_f1
1,LR,1296,324,0.7932098765432098,0.782699675803124,0.7809410117311654,0.6790123456790124,0.7871388343708311
1,DT,1296,324,0.8302469135802469,0.8098872552586683,0.8002075242657317,0.5679012345679012,0.7960158695724008
1,RF,1296,324,0.8302469135802469,0.8146737159405077,0.8100750008814744,0.6419753086419753,0.9230636307112028
1,Majority,1296,324,0.39814814814814814,0.18984547461368653,0.3333333333333333,0.0,0.190633608815427
2,LR,1296,324,0.7993827160493827,0.7970794864127452,0.8061839208990031,0.8271604938271605,0.7891978459874397
2,DT,1296,324,0.8148148148148148,0.8094510690255371,0.798857609139127,0.6666666666666666,0.793730881794982
2,RF,1296,324,0.8117283950617284,0.8052321676737133,0.8037586069681812,0.7160493827160493,0.9120088355111334
2,Majority,1296,324,0.39814814814814814,0.18984547461368653,0.3333333333333333,0.0,0.190633608815427
3,LR,1296,324,0.7716049382716049,0.7656774162656516,0.7695739382071732,0.7283950617283951,0.7896422769930243
3,DT,1296,324,0.7962962962962963,0.7787369822253544,0.767591402006348,0.5432098765432098,0.7942612949610727
3,RF,1296,324,0.7962962962962963,0.780444670812023,0.774181647043004,0.5925925925925926,0.8400020045754596
3,Majority,1296,324,0.4012345679012346,0.19089574155653452,0.3333333333333333,0.0,0.19037118706357958
4,LR,1296,324,0.7839506172839507,0.7767426869594053,0.7794445985203113,0.7283950617283951,0.7865698629040069
4,DT,1296,324,0.8024691358024691,0.7753456232853074,0.768066235814515,0.5061728395061729,0.7943175253754012
4,RF,1296,324,0.8302469135802469,0.8121440603192428,0.8066462726246404,0.6172839506172839,0.9903723486630134
4,Majority,1296,324,0.4012345679012346,0.19089574155653452,0.3333333333333333,0.0,0.19037118706357958
5,LR,1296,324,0.7438271604938271,0.7403189774862301,0.74921351273367,0.7530864197530864,0.7955600096402416
5,DT,1296,324,0.7654320987654321,0.7523329781394298,0.7462342457426038,0.6049382716049383,0.7993391511357303
5,RF,1296,324,0.7870370370370371,0.7800734229999678,0.7843232007440464,0.7283950617283951,0.8828644793926222
5,Majority,1296,324,0.4012345679012346,0.19089574155653452,0.3333333333333333,0.0,0.19037118706357958
