feature,mean,std
depression_phq9_score,0.23056990803054367,0.023490071361556626
pem_present,0.15469120823662832,0.006096998283656522
fatigue_severity_scale_score,0.14121866305251185,0.015667058433866624
stress_level,0.0065333634019333064,0.008288497626714422
work_status,0.00442762833613193,0.002944530481444863
physical_pain_score,0.0038372607690724306,0.00915136030180917
sleep_quality_index,0.0035490656647753234,0.006543678776260253
age,0.0032334346122130306,0.00881113865745741
exercise_frequency,0.00253140455656921,0.005404873480379101
hours_of_sleep_per_night,0.0017213944640233048,0.00397602997880362
gender,0.0012721844397540272,0.0026762559621321446
meditation_or_mindfulness,0.0009462825400902619,0.002686155882415216
brain_fog_level,0.00040143165186929075,0.00671708588599085
social_activity_level,-0.00011200425849430943,0.003946697607659674
pem_duration_hours,-0.00027160941887898875,0.010668670761307364
