mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.009445508321126303,0.0001666971980496056,0.004699389139811198,8.624522745691847e-05,3,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 2}",0.73329049246438,0.8013055441718869,0.8125853428908664,0.7823937931757111,0.035025315324259655,1
0.00893712043762207,5.41680855335479e-05,0.0046278635660807295,0.00010253335683249416,3,5,"{'model__max_depth': 3, 'model__min_samples_leaf': 5}",0.73329049246438,0.8013055441718869,0.8125853428908664,0.7823937931757111,0.035025315324259655,1
0.008886098861694336,5.970596602695216e-05,0.004636367162068685,5.813775114811073e-05,3,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 10}",0.73329049246438,0.8013055441718869,0.8125853428908664,0.7823937931757111,0.035025315324259655,1
0.00978414217631022,0.00014355284523779742,0.004705746968587239,4.1656364839343065e-05,5,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 2}",0.7430889600097667,0.7750906500906501,0.7899473228681032,0.76937564432284,0.019552024799415892,6
0.009515206019083658,0.00012600210753056803,0.004743417104085286,0.00015876139443396554,5,5,"{'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.7430889600097667,0.7725997234397776,0.7994816633442219,0.7717234489312554,0.02303056143624067,4
0.009596506754557291,0.00023722830994808616,0.004688421885172526,0.00011861930658080839,5,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 10}",0.729847014618282,0.7725997234397776,0.8076025417908359,0.7700164266162984,0.03179607489747844,5
0.01026614507039388,7.094634370535021e-05,0.004772663116455078,0.00019144314151082117,8,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 2}",0.7294327160889381,0.7734738898418144,0.7442305519250901,0.7490457192852809,0.01829928275302514,9
0.010407765706380209,0.00021499393075384058,0.004671494166056315,4.772674420554116e-05,8,5,"{'model__max_depth': 8, 'model__min_samples_leaf': 5}",0.71435513183086,0.7622015846114311,0.7482938178881904,0.7416168447768271,0.020095724891433263,10
0.010216315587361654,8.327428515447518e-05,0.004857778549194336,0.0001972992132921024,8,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 10}",0.7198495997711604,0.7798101465911483,0.7822274617406002,0.7606290693676363,0.028852321784798896,7
0.011587301890055338,0.0006506177671914323,0.004787524541219075,2.2780587140314475e-05,,2,"{'model__max_depth': None, 'model__min_samples_leaf': 2}",0.7102829144934407,0.7155279456198661,0.7161223202755981,0.7139777267963017,0.0026238710299699565,12
0.010960261027018229,8.470099422029242e-05,0.004822651545206706,9.056419683336069e-06,,5,"{'model__max_depth': None, 'model__min_samples_leaf': 5}",0.7186286366175799,0.7246371522117103,0.7347962687282186,0.7260206858525029,0.006672516068053198,11
0.010303020477294922,4.0244510008132985e-05,0.00473324457804362,0.000148920900496883,,10,"{'model__max_depth': None, 'model__min_samples_leaf': 10}",0.7289345833377047,0.7580290569284961,0.7822274617406002,0.756397034002267,0.02178731046947979,8
