completed 1 LR {'fold': 1, 'model': 'LR', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7932098765432098, 'macro_f1': 0.782699675803124, 'macro_recall': 0.7809410117311654, 'both_recall': np.float64(0.6790123456790124), 'train_macro_f1': 0.7871388343708311}
completed 1 DT {'fold': 1, 'model': 'DT', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.8302469135802469, 'macro_f1': 0.8098872552586683, 'macro_recall': 0.8002075242657317, 'both_recall': np.float64(0.5679012345679012), 'train_macro_f1': 0.7960158695724008}
completed 1 RF {'fold': 1, 'model': 'RF', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.8302469135802469, 'macro_f1': 0.8146737159405077, 'macro_recall': 0.8100750008814744, 'both_recall': np.float64(0.6419753086419753), 'train_macro_f1': 0.9230636307112028}
completed 1 Majority {'fold': 1, 'model': 'Majority', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.39814814814814814, 'macro_f1': 0.18984547461368653, 'macro_recall': 0.3333333333333333, 'both_recall': np.float64(0.0), 'train_macro_f1': 0.190633608815427}
completed 2 LR {'fold': 2, 'model': 'LR', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7993827160493827, 'macro_f1': 0.7970794864127452, 'macro_recall': 0.8061839208990031, 'both_recall': np.float64(0.8271604938271605), 'train_macro_f1': 0.7891978459874397}
completed 2 DT {'fold': 2, 'model': 'DT', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.8148148148148148, 'macro_f1': 0.8094510690255371, 'macro_recall': 0.798857609139127, 'both_recall': np.float64(0.6666666666666666), 'train_macro_f1': 0.793730881794982}
completed 2 RF {'fold': 2, 'model': 'RF', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.8117283950617284, 'macro_f1': 0.8052321676737133, 'macro_recall': 0.8037586069681812, 'both_recall': np.float64(0.7160493827160493), 'train_macro_f1': 0.9120088355111334}
completed 2 Majority {'fold': 2, 'model': 'Majority', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.39814814814814814, 'macro_f1': 0.18984547461368653, 'macro_recall': 0.3333333333333333, 'both_recall': np.float64(0.0), 'train_macro_f1': 0.190633608815427}
completed 3 LR {'fold': 3, 'model': 'LR', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7716049382716049, 'macro_f1': 0.7656774162656516, 'macro_recall': 0.7695739382071732, 'both_recall': np.float64(0.7283950617283951), 'train_macro_f1': 0.7896422769930243}
completed 3 DT {'fold': 3, 'model': 'DT', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7962962962962963, 'macro_f1': 0.7787369822253544, 'macro_recall': 0.767591402006348, 'both_recall': np.float64(0.5432098765432098), 'train_macro_f1': 0.7942612949610727}
completed 3 RF {'fold': 3, 'model': 'RF', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7962962962962963, 'macro_f1': 0.780444670812023, 'macro_recall': 0.774181647043004, 'both_recall': np.float64(0.5925925925925926), 'train_macro_f1': 0.8400020045754596}
completed 3 Majority {'fold': 3, 'model': 'Majority', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.4012345679012346, 'macro_f1': 0.19089574155653452, 'macro_recall': 0.3333333333333333, 'both_recall': np.float64(0.0), 'train_macro_f1': 0.19037118706357958}
completed 4 LR {'fold': 4, 'model': 'LR', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7839506172839507, 'macro_f1': 0.7767426869594053, 'macro_recall': 0.7794445985203113, 'both_recall': np.float64(0.7283950617283951), 'train_macro_f1': 0.7865698629040069}
completed 4 DT {'fold': 4, 'model': 'DT', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.8024691358024691, 'macro_f1': 0.7753456232853074, 'macro_recall': 0.768066235814515, 'both_recall': np.float64(0.5061728395061729), 'train_macro_f1': 0.7943175253754012}
completed 4 RF {'fold': 4, 'model': 'RF', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.8302469135802469, 'macro_f1': 0.8121440603192428, 'macro_recall': 0.8066462726246404, 'both_recall': np.float64(0.6172839506172839), 'train_macro_f1': 0.9903723486630134}
completed 4 Majority {'fold': 4, 'model': 'Majority', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.4012345679012346, 'macro_f1': 0.19089574155653452, 'macro_recall': 0.3333333333333333, 'both_recall': np.float64(0.0), 'train_macro_f1': 0.19037118706357958}
completed 5 LR {'fold': 5, 'model': 'LR', 'n_train': 1296, 'n_test': 324, 'accuracy': 0.7438271604938271, 'macro_f1': 0.7403189774862301, 'macro_recall': 0.74921351273367, 'both_recall': np.float64(0.7530864197530864), 'train_macro_f1': 0.7955600096402416}
